iggdb_species_id	iggdb_species_name	taxonomy	gut_mags	ref_genomes	ncbi_id
173094	Bacteroides sp.	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__RC9;s__	25	1	816
173665	Eubacterium sp. HGM-224	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	18	0	1730
187498	Bacteroides sp. HGM-1243	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	0	816
177237	Anaerotruncus sp. HGM-1314	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	1	0	244127
168577	Ruminococcus champanellensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis	5	4	1161942
173859	Butyricicoccus sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus sp1	55	2	1193532
175486	Bacteroides sp.	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__RC9;s__	20	1	816
172783	Paenibacillus lautus	d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus sp3	0	5	1401
154321	Lentisphaeria sp. HGM-716	d__Bacteria;p__Verrucomicrobia;c__Lentisphaeria;o__UBA1784	2	0	1313211
185169	Collinsella sp. HGM-1181	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	1	0	102106
176984	Rhodospirillales sp. HGM-1307	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-727	1	0	204441
155338	Bacteroides massiliensis	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B massiliensis	8	5	204516
172151	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	3	1	1485
184565	Firmicutes sp. HGM-1153	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-449;g__CAG-449	1	0	1239
156931	Intestinimonas massiliensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__	0	3	1673721
179814	Verrucomicrobia sp. HGM-990	d__Bacteria;p__Verrucomicrobia;c__Kiritimatiellae;o__UBA8416	1	0	74201
187379	Faecalicatena sp. HGM-1239	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B	1	0	2005359
183710	Oribacterium sp. HGM-1106	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	1	0	265975
163674	Ruminococcus sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089;g__CAG-352;s__	39	3	165186
186252	Rikenellaceae sp. HGM-1206	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1	0	171550
177181	Mobilicoccus massiliensis	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Mobilicoccus;s__	0	1	1522310
