species_id	species_alt_id	max_complete	min_contam	max_qs
OTU-14945	207792	67.79	0	62.190000891685486
OTU-15191	207800	67.08	0	67.08000183105469
OTU-07960	207820	88.03	0.85	83.77999866008759
OTU-01042	207824	75	0	64.62000274658203
OTU-23438	207826	90.03	0	54.310001373291016
OTU-14891	207844	61.39	0	56.43999934196472
OTU-14857	207860	88.71	0	86.90999901294708
OTU-07787	207866	88.05	0	83.1000030040741
OTU-14598	207869	94.96	1.01	86.5599993467331
OTU-18137	207878	94.03	1.17	74.67999935150146
OTU-19777	207897	93.66	0.48	91.26000371575356
OTU-16700	207900	58.82	0.6	55.81999957561493
OTU-06014	207903	86.05	0	82.8000031709671
OTU-14163	207905	100	0	100
OTU-22718	207909	88.05	0.38	80.20000278949738
OTU-21667	207919	98.89	0.49	84.35000157356262
OTU-19927	207933	96.54	0	86.54000091552734
OTU-13056	207942	93.41	0.06	90.06000357866287
OTU-07891	207947	87.16	0	87.16000366210938
OTU-18227	207966	92.38	0.11	91.8299972563982
OTU-02067	207976	84.09	0	84.08999633789062
OTU-11974	207977	92.6	6.21	61.00999736785889
OTU-01625	207995	87.68	0.54	80.40000283718109
OTU-06995	208003	85.07	0.81	79.82999724149704
OTU-15096	208011	71.76	0	71.76000213623047
OTU-05172	208013	97.31	0	94.60999745130539
OTU-15731	208019	76.4	0	59.54999923706055
OTU-01099	208039	71.47	0	54.209999084472656
OTU-21806	208041	98.13	0	98.12999725341797
OTU-21368	208052	79.21	0.31	77.39999693632126
OTU-11832	208067	85.64	2.66	62.89000201225281
OTU-07490	208069	93.25	0	93.25
OTU-08767	208070	86.44	0	86.44000244140625
OTU-15375	208071	66.02	0	61.419996559619904
OTU-22678	208079	96.55	1.83	85.97000253200531
OTU-15420	208080	73.41	0	70.81999969482422
OTU-01092	208081	80	0	80
OTU-01150	208101	73.33	1.76	64.45000004768372
OTU-09054	208120	98.16	0.53	92.88999789953232
OTU-08858	208127	86.11	0.07	85.76000060886145
OTU-18136	208138	92.12	0.5	87.12000274658203
OTU-04197	208141	85.93	1.19	77.88000023365021
OTU-14772	208150	92.42	0.91	87.8699980378151
OTU-21543	208151	71.21	1.1	58.55999743938446
OTU-20003	208155	87.99	1.58	76.21999955177307
OTU-15077	208166	61.27	0.85	51.63999927043915
OTU-11754	208171	90.73	0	90.7300033569336
OTU-14289	208179	95.11	0	85.51000082492828
OTU-15129	208205	53.03	0	50.060001373291016
OTU-21670	208209	86.97	4.37	64.99999904632568
OTU-14172	208213	92.47	1.59	83.4700014591217
OTU-07611	208219	66.21	0.91	57.10999882221222
OTU-12294	208242	79.74	0.28	72.3399977684021
OTU-23611	208249	95.77	0	75.05999755859375
OTU-15574	208250	72.05	0	72.05000305175781
OTU-13131	208255	85.57	0	85.56999969482422
OTU-06395	208260	98.35	0.19	97.39999848604202
OTU-23299	208276	91.21	0	91.20999908447266
OTU-15142	208282	58.58	0	58.58000183105469
OTU-15098	208290	62.21	0	59.40999984741211
OTU-05167	208301	76.34	1.34	60.41000044345856
OTU-14470	208303	87.18	1.71	78.63000011444092
OTU-16678	208307	95.32	1.66	73.96999979019165
OTU-15645	208365	73.72	0.85	56.160003542900085
OTU-09152	208367	94.32	1.12	87.59000241756439
OTU-15313	208370	64.62	0	64.62000274658203
OTU-14839	208371	81.12	1.08	75.72000253200531
OTU-11598	208378	73.48	1.4	65.43000328540802
OTU-12259	208382	95.32	0.58	92.41999977827072
OTU-15366	208384	60.4	0	57.10000139474869
OTU-05942	208386	87.27	0.3	80.86999678611755
OTU-14888	208392	71.45	0.99	65.50999903678894
OTU-23513	208395	88.51	0	88.51000213623047
OTU-14823	208405	73.95	1.14	65.24999701976776
OTU-14521	208410	78.99	0	78.48999785631895
